phase,label_set,model,resolution,lr,batch_size,augmentation_branch,schedule,checkpoint,mDice,accuracy,experiment_name,config_path,train_command
stage1_lr,full,deeplabv3plus_r50,"(192, 192)",3e-05,,basic,ranking_short,,,,stage1_lr__full__deeplabv3plus_r50__192x192__lr3em05__auto__basic__ranking_short,C:\Users\Daniel\Documents\Masters\S2\OR\Fashion_Segmentation\mmseg_generated_configs\stage1_lr__full__deeplabv3plus_r50__192x192__lr3em05__auto__basic__ranking_short.py,"$env:PYTHONPATH=""C:\Users\Daniel\Documents\Masters\S2\OR\Fashion_Segmentation;C:\Users\Daniel\Documents\Masters\S2\OR\Fashion_Segmentation\mmsegmentation""; & python ""C:\Users\Daniel\Documents\Masters\S2\OR\Fashion_Segmentation\mmsegmentation\tools\train.py"" ""C:\Users\Daniel\Documents\Masters\S2\OR\Fashion_Segmentation\mmseg_generated_configs\stage1_lr__full__deeplabv3plus_r50__192x192__lr3em05__auto__basic__ranking_short.py"""
stage1_lr,full,deeplabv3plus_r50,"(192, 192)",0.0001,,basic,ranking_short,,,,stage1_lr__full__deeplabv3plus_r50__192x192__lr0p0001__auto__basic__ranking_short,C:\Users\Daniel\Documents\Masters\S2\OR\Fashion_Segmentation\mmseg_generated_configs\stage1_lr__full__deeplabv3plus_r50__192x192__lr0p0001__auto__basic__ranking_short.py,"$env:PYTHONPATH=""C:\Users\Daniel\Documents\Masters\S2\OR\Fashion_Segmentation;C:\Users\Daniel\Documents\Masters\S2\OR\Fashion_Segmentation\mmsegmentation""; & python ""C:\Users\Daniel\Documents\Masters\S2\OR\Fashion_Segmentation\mmsegmentation\tools\train.py"" ""C:\Users\Daniel\Documents\Masters\S2\OR\Fashion_Segmentation\mmseg_generated_configs\stage1_lr__full__deeplabv3plus_r50__192x192__lr0p0001__auto__basic__ranking_short.py"""
stage1_lr,full,deeplabv3plus_r50,"(192, 192)",0.0003,,basic,ranking_short,,,,stage1_lr__full__deeplabv3plus_r50__192x192__lr0p0003__auto__basic__ranking_short,C:\Users\Daniel\Documents\Masters\S2\OR\Fashion_Segmentation\mmseg_generated_configs\stage1_lr__full__deeplabv3plus_r50__192x192__lr0p0003__auto__basic__ranking_short.py,"$env:PYTHONPATH=""C:\Users\Daniel\Documents\Masters\S2\OR\Fashion_Segmentation;C:\Users\Daniel\Documents\Masters\S2\OR\Fashion_Segmentation\mmsegmentation""; & python ""C:\Users\Daniel\Documents\Masters\S2\OR\Fashion_Segmentation\mmsegmentation\tools\train.py"" ""C:\Users\Daniel\Documents\Masters\S2\OR\Fashion_Segmentation\mmseg_generated_configs\stage1_lr__full__deeplabv3plus_r50__192x192__lr0p0003__auto__basic__ranking_short.py"""
stage1_lr,full,deeplabv3plus_r50,"(384, 384)",3e-05,,basic,ranking_short,,,,stage1_lr__full__deeplabv3plus_r50__384x384__lr3em05__auto__basic__ranking_short,C:\Users\Daniel\Documents\Masters\S2\OR\Fashion_Segmentation\mmseg_generated_configs\stage1_lr__full__deeplabv3plus_r50__384x384__lr3em05__auto__basic__ranking_short.py,"$env:PYTHONPATH=""C:\Users\Daniel\Documents\Masters\S2\OR\Fashion_Segmentation;C:\Users\Daniel\Documents\Masters\S2\OR\Fashion_Segmentation\mmsegmentation""; & python ""C:\Users\Daniel\Documents\Masters\S2\OR\Fashion_Segmentation\mmsegmentation\tools\train.py"" ""C:\Users\Daniel\Documents\Masters\S2\OR\Fashion_Segmentation\mmseg_generated_configs\stage1_lr__full__deeplabv3plus_r50__384x384__lr3em05__auto__basic__ranking_short.py"""
stage1_lr,full,deeplabv3plus_r50,"(384, 384)",0.0001,,basic,ranking_short,,,,stage1_lr__full__deeplabv3plus_r50__384x384__lr0p0001__auto__basic__ranking_short,C:\Users\Daniel\Documents\Masters\S2\OR\Fashion_Segmentation\mmseg_generated_configs\stage1_lr__full__deeplabv3plus_r50__384x384__lr0p0001__auto__basic__ranking_short.py,"$env:PYTHONPATH=""C:\Users\Daniel\Documents\Masters\S2\OR\Fashion_Segmentation;C:\Users\Daniel\Documents\Masters\S2\OR\Fashion_Segmentation\mmsegmentation""; & python ""C:\Users\Daniel\Documents\Masters\S2\OR\Fashion_Segmentation\mmsegmentation\tools\train.py"" ""C:\Users\Daniel\Documents\Masters\S2\OR\Fashion_Segmentation\mmseg_generated_configs\stage1_lr__full__deeplabv3plus_r50__384x384__lr0p0001__auto__basic__ranking_short.py"""
stage1_lr,full,deeplabv3plus_r50,"(384, 384)",0.0003,,basic,ranking_short,,,,stage1_lr__full__deeplabv3plus_r50__384x384__lr0p0003__auto__basic__ranking_short,C:\Users\Daniel\Documents\Masters\S2\OR\Fashion_Segmentation\mmseg_generated_configs\stage1_lr__full__deeplabv3plus_r50__384x384__lr0p0003__auto__basic__ranking_short.py,"$env:PYTHONPATH=""C:\Users\Daniel\Documents\Masters\S2\OR\Fashion_Segmentation;C:\Users\Daniel\Documents\Masters\S2\OR\Fashion_Segmentation\mmsegmentation""; & python ""C:\Users\Daniel\Documents\Masters\S2\OR\Fashion_Segmentation\mmsegmentation\tools\train.py"" ""C:\Users\Daniel\Documents\Masters\S2\OR\Fashion_Segmentation\mmseg_generated_configs\stage1_lr__full__deeplabv3plus_r50__384x384__lr0p0003__auto__basic__ranking_short.py"""
stage1_lr,full,segformer_mit-b0,"(192, 192)",3e-05,,basic,ranking_short,,,,stage1_lr__full__segformer_mit-b0__192x192__lr3em05__auto__basic__ranking_short,C:\Users\Daniel\Documents\Masters\S2\OR\Fashion_Segmentation\mmseg_generated_configs\stage1_lr__full__segformer_mit-b0__192x192__lr3em05__auto__basic__ranking_short.py,"$env:PYTHONPATH=""C:\Users\Daniel\Documents\Masters\S2\OR\Fashion_Segmentation;C:\Users\Daniel\Documents\Masters\S2\OR\Fashion_Segmentation\mmsegmentation""; & python ""C:\Users\Daniel\Documents\Masters\S2\OR\Fashion_Segmentation\mmsegmentation\tools\train.py"" ""C:\Users\Daniel\Documents\Masters\S2\OR\Fashion_Segmentation\mmseg_generated_configs\stage1_lr__full__segformer_mit-b0__192x192__lr3em05__auto__basic__ranking_short.py"""
stage1_lr,full,segformer_mit-b0,"(192, 192)",0.0001,,basic,ranking_short,,,,stage1_lr__full__segformer_mit-b0__192x192__lr0p0001__auto__basic__ranking_short,C:\Users\Daniel\Documents\Masters\S2\OR\Fashion_Segmentation\mmseg_generated_configs\stage1_lr__full__segformer_mit-b0__192x192__lr0p0001__auto__basic__ranking_short.py,"$env:PYTHONPATH=""C:\Users\Daniel\Documents\Masters\S2\OR\Fashion_Segmentation;C:\Users\Daniel\Documents\Masters\S2\OR\Fashion_Segmentation\mmsegmentation""; & python ""C:\Users\Daniel\Documents\Masters\S2\OR\Fashion_Segmentation\mmsegmentation\tools\train.py"" ""C:\Users\Daniel\Documents\Masters\S2\OR\Fashion_Segmentation\mmseg_generated_configs\stage1_lr__full__segformer_mit-b0__192x192__lr0p0001__auto__basic__ranking_short.py"""
stage1_lr,full,segformer_mit-b0,"(192, 192)",0.0003,,basic,ranking_short,,,,stage1_lr__full__segformer_mit-b0__192x192__lr0p0003__auto__basic__ranking_short,C:\Users\Daniel\Documents\Masters\S2\OR\Fashion_Segmentation\mmseg_generated_configs\stage1_lr__full__segformer_mit-b0__192x192__lr0p0003__auto__basic__ranking_short.py,"$env:PYTHONPATH=""C:\Users\Daniel\Documents\Masters\S2\OR\Fashion_Segmentation;C:\Users\Daniel\Documents\Masters\S2\OR\Fashion_Segmentation\mmsegmentation""; & python ""C:\Users\Daniel\Documents\Masters\S2\OR\Fashion_Segmentation\mmsegmentation\tools\train.py"" ""C:\Users\Daniel\Documents\Masters\S2\OR\Fashion_Segmentation\mmseg_generated_configs\stage1_lr__full__segformer_mit-b0__192x192__lr0p0003__auto__basic__ranking_short.py"""
stage1_lr,full,segformer_mit-b0,"(384, 384)",3e-05,,basic,ranking_short,,,,stage1_lr__full__segformer_mit-b0__384x384__lr3em05__auto__basic__ranking_short,C:\Users\Daniel\Documents\Masters\S2\OR\Fashion_Segmentation\mmseg_generated_configs\stage1_lr__full__segformer_mit-b0__384x384__lr3em05__auto__basic__ranking_short.py,"$env:PYTHONPATH=""C:\Users\Daniel\Documents\Masters\S2\OR\Fashion_Segmentation;C:\Users\Daniel\Documents\Masters\S2\OR\Fashion_Segmentation\mmsegmentation""; & python ""C:\Users\Daniel\Documents\Masters\S2\OR\Fashion_Segmentation\mmsegmentation\tools\train.py"" ""C:\Users\Daniel\Documents\Masters\S2\OR\Fashion_Segmentation\mmseg_generated_configs\stage1_lr__full__segformer_mit-b0__384x384__lr3em05__auto__basic__ranking_short.py"""
