class_index,class_name,dice,iou,support,is_background
0,background,0.8661033511161804,0.7638291716575623,225594.0,True
1,"shirt, blouse",0.0,0.0,5323.0,False
2,"top, t-shirt, sweatshirt",0.0,0.0,13760.0,False
3,sweater,0.0,0.0,0.0,False
4,cardigan,0.0,0.0,0.0,False
5,jacket,0.005886605475097895,0.002951991278678179,19221.0,False
6,vest,0.0,0.0,1617.0,False
7,pants,0.0,0.0,2277.0,False
8,shorts,0.0,0.0,0.0,False
9,skirt,0.0,0.0,0.0,False
10,coat,0.0,0.0,0.0,False
11,dress,0.0,0.0,0.0,False
12,jumpsuit,0.0,0.0,0.0,False
13,cape,0.0,0.0,0.0,False
14,glasses,0.0012108003720641136,0.0006057668942958117,428.0,False
15,hat,0.0,0.0,0.0,False
16,"headband, head covering, hair accessory",0.0,0.0,0.0,False
17,tie,0.0,0.0,0.0,False
18,glove,0.0,0.0,0.0,False
19,watch,0.0,0.0,49.0,False
20,belt,0.0,0.0,122.0,False
21,leg warmer,0.0,0.0,0.0,False
22,"tights, stockings",0.0,0.0,0.0,False
23,sock,0.0,0.0,0.0,False
24,shoe,0.0,0.0,505.0,False
25,"bag, wallet",0.0,0.0,0.0,False
26,scarf,0.0,0.0,0.0,False
27,umbrella,0.0,0.0,0.0,False
28,hood,0.0,0.0,489.0,False
29,collar,0.0,0.0,518.0,False
30,lapel,0.09795845299959183,0.051501743495464325,3973.0,False
31,epaulette,0.0,0.0,0.0,False
32,sleeve,0.0,0.0,17687.0,False
33,pocket,0.0,0.0,2100.0,False
34,neckline,0.0,0.0,474.0,False
35,buckle,0.0,0.0,1.0,False
36,zipper,0.0,0.0,620.0,False
37,applique,0.0,0.0,0.0,False
38,bead,0.0,0.0,0.0,False
39,bow,0.0,0.0,149.0,False
40,flower,0.0,0.0,0.0,False
41,fringe,0.0,0.0,0.0,False
42,ribbon,0.0,0.0,0.0,False
43,rivet,0.0,0.0,5.0,False
44,ruffle,0.0,0.0,0.0,False
45,sequin,0.0,0.0,0.0,False
46,tassel,0.0,0.0,0.0,False
