class_index,class_name,dice,iou,support,is_background
0,background,0.9373368620872498,0.8820639848709106,1953133.0,True
1,"shirt, blouse",0.3616220951080322,0.220719575881958,31560.0,False
2,"top, t-shirt, sweatshirt",0.23374831676483154,0.13234145939350128,97702.0,False
3,sweater,0.0,0.0,250.0,False
4,cardigan,0.0,0.0,0.0,False
5,jacket,0.15910665690898895,0.08642905205488205,43795.0,False
6,vest,0.0,0.0,11820.0,False
7,pants,0.44509270787239075,0.2862503230571747,87988.0,False
8,shorts,0.0,0.0,9501.0,False
9,skirt,0.0,0.0,0.0,False
10,coat,0.0,0.0,7046.0,False
11,dress,0.0,0.0,0.0,False
12,jumpsuit,0.0,0.0,0.0,False
13,cape,0.0,0.0,0.0,False
14,glasses,0.0,0.0,1341.0,False
15,hat,0.0,0.0,1208.0,False
16,"headband, head covering, hair accessory",0.0,0.0,8.0,False
17,tie,0.0,0.0,94.0,False
18,glove,0.0,0.0,95.0,False
19,watch,0.0,0.0,983.0,False
20,belt,0.0,0.0,1061.0,False
21,leg warmer,0.0,0.0,0.0,False
22,"tights, stockings",0.0,0.0,0.0,False
23,sock,0.0,0.0,811.0,False
24,shoe,0.0,0.0,14811.0,False
25,"bag, wallet",0.0,0.0,4424.0,False
26,scarf,0.0,0.0,1415.0,False
27,umbrella,0.0,0.0,0.0,False
28,hood,0.0,0.0,2234.0,False
29,collar,0.0,0.0,3647.0,False
30,lapel,0.0,0.0,6538.0,False
31,epaulette,0.0,0.0,0.0,False
32,sleeve,0.33377358317375183,0.20031706988811493,65386.0,False
33,pocket,0.0,0.0,8454.0,False
34,neckline,0.0,0.0,2761.0,False
35,buckle,0.0,0.0,96.0,False
36,zipper,0.0,0.0,898.0,False
37,applique,0.0,0.0,77.0,False
38,bead,0.0,0.0,0.0,False
39,bow,0.0,0.0,149.0,False
40,flower,0.0,0.0,0.0,False
41,fringe,0.0,0.0,0.0,False
42,ribbon,0.0,0.0,0.0,False
43,rivet,0.0,0.0,10.0,False
44,ruffle,0.0,0.0,0.0,False
45,sequin,0.0,0.0,0.0,False
46,tassel,0.0,0.0,0.0,False
