class_index,class_name,dice,iou,support,is_background
0,background,0.9879558086395264,0.9761983752250671,145564400.0,True
1,"shirt, blouse",0.4634394347667694,0.30160829424858093,529452.0,False
2,"top, t-shirt, sweatshirt",0.6736546158790588,0.5079028606414795,2653946.0,False
3,sweater,0.0014599080896005034,0.00073048728518188,171252.0,False
4,cardigan,0.0008551881182938814,0.0004277769767213613,71102.0,False
5,jacket,0.5298322439193726,0.36038896441459656,1123778.0,False
6,vest,7.268498302437365e-05,3.63438120984938e-05,137379.0,False
7,pants,0.7618750929832458,0.6153458952903748,2674313.0,False
8,shorts,0.6811147928237915,0.5164321660995483,381684.0,False
9,skirt,0.5814600586891174,0.40990039706230164,1451598.0,False
10,coat,0.5195737481117249,0.35096225142478943,1133693.0,False
11,dress,0.7907550930976868,0.6539246439933777,7949950.0,False
12,jumpsuit,0.026365721598267555,0.013358970172703266,313468.0,False
13,cape,0.06404290348291397,0.03308074548840523,76320.0,False
14,glasses,0.6869410872459412,0.5231608748435974,53391.0,False
15,hat,0.5228684544563293,0.3539755642414093,134737.0,False
16,"headband, head covering, hair accessory",0.11054544150829315,0.05850653722882271,92464.0,False
17,tie,0.3766605854034424,0.23202824592590332,1027.0,False
18,glove,0.20655858516693115,0.11517442762851715,21667.0,False
19,watch,0.0560581348836422,0.028837351128458977,12544.0,False
20,belt,0.28360533714294434,0.16523317992687225,135771.0,False
21,leg warmer,0.0,0.0,37438.0,False
22,"tights, stockings",0.5410954356193542,0.3708915710449219,274162.0,False
23,sock,0.12464506924152374,0.06646478921175003,25381.0,False
24,shoe,0.7262381315231323,0.5701521635055542,854045.0,False
25,"bag, wallet",0.6044821739196777,0.4331597685813904,525544.0,False
26,scarf,0.20212866365909576,0.11242666095495224,219364.0,False
27,umbrella,0.47581061720848083,0.31217288970947266,88384.0,False
28,hood,0.017287233844399452,0.008718980476260185,34849.0,False
29,collar,0.29613780975341797,0.17380385100841522,82485.0,False
30,lapel,0.5048592686653137,0.33766674995422363,248562.0,False
31,epaulette,0.0,0.0,1045.0,False
32,sleeve,0.7848419547080994,0.6458764672279358,2658035.0,False
33,pocket,0.11838804930448532,0.06291841715574265,171000.0,False
34,neckline,0.4117840528488159,0.25927460193634033,173563.0,False
35,buckle,0.033880073577165604,0.01723194681107998,6895.0,False
36,zipper,0.02481917478144169,0.012565520592033863,26645.0,False
37,applique,0.0011323076905682683,0.0005664745694957674,40594.0,False
38,bead,0.10222075134515762,0.05386335402727127,33583.0,False
39,bow,0.0,0.0,7495.0,False
40,flower,0.0,0.0,12614.0,False
41,fringe,0.040192365646362305,0.02050832100212574,38034.0,False
42,ribbon,0.0,0.0,6464.0,False
43,rivet,0.0,0.0,7445.0,False
44,ruffle,0.4248295724391937,0.26970386505126953,478052.0,False
45,sequin,0.0,0.0,15175.0,False
46,tassel,0.0,0.0,3265.0,False
