run_name,status,model_name,image_size,learning_rate,batch_size,augmentation,run_mode,reduced_label_tag,num_classes,epochs,best_epoch,best_val_mdice_ex_bg,best_val_pixel_acc_ex_bg,best_val_miou_ex_bg,seconds,checkpoint_path,history_csv,per_class_csv,config_json
deeplabv3plus_resnet50_res192_lr0.001_bs4_weak_smoke_full_labels,completed,deeplabv3plus_resnet50,192,0.001,4,weak,smoke,full_labels,47,1,1,0.0022838229779154062,0.01667676493525505,0.0011969456681981683,5.472423300030641,outputs\task2\checkpoints\deeplabv3plus_resnet50_res192_lr0.001_bs4_weak_smoke_full_labels.pt,outputs\task2\histories\deeplabv3plus_resnet50_res192_lr0.001_bs4_weak_smoke_full_labels.csv,outputs\task2\per_class_metrics\deeplabv3plus_resnet50_res192_lr0.001_bs4_weak_smoke_full_labels.csv,outputs\task2\configs\deeplabv3plus_resnet50_res192_lr0.001_bs4_weak_smoke_full_labels.json
deeplabv3plus_resnet50_res192_lr0.001_bs8_weak_pilot_full_labels,completed,deeplabv3plus_resnet50,192,0.001,8,weak,pilot,full_labels,47,2,2,0.03333355113863945,0.2392832487821579,0.020131684839725494,24.305292800068855,outputs\task2\checkpoints\deeplabv3plus_resnet50_res192_lr0.001_bs8_weak_pilot_full_labels.pt,outputs\task2\histories\deeplabv3plus_resnet50_res192_lr0.001_bs8_weak_pilot_full_labels.csv,outputs\task2\per_class_metrics\deeplabv3plus_resnet50_res192_lr0.001_bs8_weak_pilot_full_labels.csv,outputs\task2\configs\deeplabv3plus_resnet50_res192_lr0.001_bs8_weak_pilot_full_labels.json
segformer_b0_res384_lr0.0003_bs8_strong_pilot_full_labels,completed,segformer_b0,384,0.0003,8,strong,pilot,full_labels,47,2,2,0.045098356902599335,0.3330802619457245,0.02868649549782276,25.889674399979413,outputs\task2\checkpoints\segformer_b0_res384_lr0.0003_bs8_strong_pilot_full_labels.pt,outputs\task2\histories\segformer_b0_res384_lr0.0003_bs8_strong_pilot_full_labels.csv,outputs\task2\per_class_metrics\segformer_b0_res384_lr0.0003_bs8_strong_pilot_full_labels.csv,outputs\task2\configs\segformer_b0_res384_lr0.0003_bs8_strong_pilot_full_labels.json
upernet_swin_tiny_res192_lr0.0003_bs8_weak_pilot_full_labels,completed,upernet_swin_tiny,192,0.0003,8,weak,pilot,full_labels,47,2,2,0.04619596153497696,0.42986682057380676,0.031081153079867363,26.41934579994995,outputs\task2\checkpoints\upernet_swin_tiny_res192_lr0.0003_bs8_weak_pilot_full_labels.pt,outputs\task2\histories\upernet_swin_tiny_res192_lr0.0003_bs8_weak_pilot_full_labels.csv,outputs\task2\per_class_metrics\upernet_swin_tiny_res192_lr0.0003_bs8_weak_pilot_full_labels.csv,outputs\task2\configs\upernet_swin_tiny_res192_lr0.0003_bs8_weak_pilot_full_labels.json
deeplabv3plus_resnet50_res192_lr0.001_bs8_weak_full_full_labels,completed,deeplabv3plus_resnet50,192,0.001,8,weak,full,full_labels,47,12,10,0.20008404552936554,0.5971883535385132,0.13496869802474976,2572.467596499948,outputs\task2\checkpoints\deeplabv3plus_resnet50_res192_lr0.001_bs8_weak_full_full_labels.pt,outputs\task2\histories\deeplabv3plus_resnet50_res192_lr0.001_bs8_weak_full_full_labels.csv,outputs\task2\per_class_metrics\deeplabv3plus_resnet50_res192_lr0.001_bs8_weak_full_full_labels.csv,outputs\task2\configs\deeplabv3plus_resnet50_res192_lr0.001_bs8_weak_full_full_labels.json
deeplabv3plus_resnet50_res192_lr0.001_bs8_strong_full_full_labels,completed,deeplabv3plus_resnet50,192,0.001,8,strong,full,full_labels,47,12,12,0.18509578704833984,0.5787142515182495,0.12308160215616226,2518.6354365999578,outputs\task2\checkpoints\deeplabv3plus_resnet50_res192_lr0.001_bs8_strong_full_full_labels.pt,outputs\task2\histories\deeplabv3plus_resnet50_res192_lr0.001_bs8_strong_full_full_labels.csv,outputs\task2\per_class_metrics\deeplabv3plus_resnet50_res192_lr0.001_bs8_strong_full_full_labels.csv,outputs\task2\configs\deeplabv3plus_resnet50_res192_lr0.001_bs8_strong_full_full_labels.json
deeplabv3plus_resnet50_res192_lr0.001_bs16_weak_full_full_labels,completed,deeplabv3plus_resnet50,192,0.001,16,weak,full,full_labels,47,12,10,0.21644693613052368,0.6051876544952393,0.1466890573501587,1957.7954125000397,outputs\task2\checkpoints\deeplabv3plus_resnet50_res192_lr0.001_bs16_weak_full_full_labels.pt,outputs\task2\histories\deeplabv3plus_resnet50_res192_lr0.001_bs16_weak_full_full_labels.csv,outputs\task2\per_class_metrics\deeplabv3plus_resnet50_res192_lr0.001_bs16_weak_full_full_labels.csv,outputs\task2\configs\deeplabv3plus_resnet50_res192_lr0.001_bs16_weak_full_full_labels.json
deeplabv3plus_resnet50_res192_lr0.001_bs16_strong_full_full_labels,completed,deeplabv3plus_resnet50,192,0.001,16,strong,full,full_labels,47,12,12,0.19354821741580963,0.5962774157524109,0.12914006412029266,1957.2248003999703,outputs\task2\checkpoints\deeplabv3plus_resnet50_res192_lr0.001_bs16_strong_full_full_labels.pt,outputs\task2\histories\deeplabv3plus_resnet50_res192_lr0.001_bs16_strong_full_full_labels.csv,outputs\task2\per_class_metrics\deeplabv3plus_resnet50_res192_lr0.001_bs16_strong_full_full_labels.csv,outputs\task2\configs\deeplabv3plus_resnet50_res192_lr0.001_bs16_strong_full_full_labels.json
deeplabv3plus_resnet50_res192_lr0.0003_bs8_weak_full_full_labels,completed,deeplabv3plus_resnet50,192,0.0003,8,weak,full,full_labels,47,12,12,0.2420852929353714,0.6312840580940247,0.16657030582427979,2518.4394522000803,outputs\task2\checkpoints\deeplabv3plus_resnet50_res192_lr0.0003_bs8_weak_full_full_labels.pt,outputs\task2\histories\deeplabv3plus_resnet50_res192_lr0.0003_bs8_weak_full_full_labels.csv,outputs\task2\per_class_metrics\deeplabv3plus_resnet50_res192_lr0.0003_bs8_weak_full_full_labels.csv,outputs\task2\configs\deeplabv3plus_resnet50_res192_lr0.0003_bs8_weak_full_full_labels.json
deeplabv3plus_resnet50_res192_lr0.0003_bs8_strong_full_full_labels,completed,deeplabv3plus_resnet50,192,0.0003,8,strong,full,full_labels,47,12,11,0.23359887301921844,0.6122802495956421,0.15853703022003174,2947.783133599907,outputs\task2\checkpoints\deeplabv3plus_resnet50_res192_lr0.0003_bs8_strong_full_full_labels.pt,outputs\task2\histories\deeplabv3plus_resnet50_res192_lr0.0003_bs8_strong_full_full_labels.csv,outputs\task2\per_class_metrics\deeplabv3plus_resnet50_res192_lr0.0003_bs8_strong_full_full_labels.csv,outputs\task2\configs\deeplabv3plus_resnet50_res192_lr0.0003_bs8_strong_full_full_labels.json
