epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1198.04,1.32373,2.99636,2.7082,1.21562,0,0.60963,0.21109,0.19662,0.12873,0.61811,0.17644,0.15517,0.08168,1.32909,2.75651,1.49814,1.18068,0,0.0099897,0.0033299,0.0099897,0.0033299,0.0099897,0.0033299,0.0099897,0.0033299
2,2380.77,1.21894,2.68926,1.55034,1.13896,0,0.51043,0.21435,0.21921,0.14346,0.48054,0.18328,0.16323,0.08353,1.32459,2.73674,1.41603,1.16779,0,0.0195939,0.0065313,0.0195939,0.0065313,0.0195939,0.0065313,0.0195939,0.0065313
3,3559.79,1.26046,2.73924,1.53046,1.14987,0,0.60233,0.20785,0.21028,0.13439,0.58112,0.17722,0.18066,0.08403,1.37118,2.85331,1.48509,1.17136,0,0.0288021,0.0096007,0.0288021,0.0096007,0.0288021,0.0096007,0.0288021,0.0096007
4,4750.1,1.23834,2.69451,1.45099,1.13967,0,0.48399,0.26881,0.26182,0.17057,0.53693,0.20012,0.21035,0.10567,1.27164,2.66257,1.27787,1.14037,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,5939.11,1.17869,2.59593,1.34057,1.11123,0,0.57625,0.26494,0.27488,0.1845,0.59809,0.2252,0.226,0.11844,1.214,2.53922,1.18238,1.10607,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1090.37,1.14466,2.53885,1.28361,1.09627,0,0.57063,0.28508,0.2994,0.19653,0.56075,0.24178,0.24694,0.13107,1.18523,2.47311,1.13516,1.09583,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,2137.8,1.12151,2.50145,1.24594,1.08518,0,0.59391,0.31128,0.31232,0.21339,0.54265,0.27424,0.26673,0.14152,1.15197,2.41643,1.09233,1.07686,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,3207.03,1.10459,2.463,1.21629,1.07797,0,0.59494,0.32751,0.32289,0.22187,0.59743,0.29357,0.28286,0.15468,1.13059,2.36222,1.05282,1.06617,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,4275.32,1.08924,2.43144,1.19152,1.07009,0,0.62591,0.30055,0.33294,0.2327,0.61812,0.26845,0.2851,0.15805,1.10682,2.33116,1.02817,1.05548,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,5340.97,1.08062,2.41069,1.17037,1.06547,0,0.58643,0.34413,0.33947,0.23571,0.54816,0.30851,0.29462,0.16282,1.09412,2.30611,1.0125,1.04903,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
